id,crop,category,fact_name,value,unit,value_type,context,source_institution,source_title,source_url,source_locator,source_page_number,source_medium,source_value_text,extraction_method,verification_status,verified_on,current_label_or_local_validation_required,notes
verified_0001,Potato and Tomato,Soil and water management,Suitable context,Dry-season cultivation in saline areas similar to AEZ-18,,fact,Noakhali-region technology,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0002,Potato and Tomato,Soil and water management,Mulch material,Water hyacinth,,input,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0003,Potato and Tomato,Soil and water management,Water-hyacinth mulch rate,68,tonne/ha,fact,Technology tested in saline areas,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0004,Potato,Variety,Recommended variety,BARI Alu-7,,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0005,Tomato,Variety,Recommended variety,BARI Tomato-14,,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0006,Potato,Seed,Seed rate,1500,kg/ha,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0007,Tomato,Seed,Seed rate,200,g/ha,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0008,Potato,Crop calendar,Planting time,First part of December,,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0009,Tomato,Crop calendar,Planting time,First week of December,,fact,,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
verified_0010,Potato,Fertilizer,Urea,250,kg/ha,fact,Technology-specific table; not universal,Bangladesh Agricultural Research Institute (BARI),Use of water-hyacinth mulch in potato and tomato production,https://baritechnology.org/m/crops/tech_detail/354,"প্রযুক্তির বিবরণ > উৎপাদন প্রযুক্তি / সারের নাম / সার প্রয়োগ পদ্ধতি, আন্তঃপরিচর্যা ও ফলন",,Official institutional webpage with tabular production data,,Human-curated paraphrase of visible official source content,verified_against_visible_official_source,2026-07-24,False,
